s,MINNESOTA MINING AND MANUFACTURING
A&W,ALLEN & WRIGHT
AA,AUTHOR ALTERATION
AAA,AMERICAN AUTOMOBILE ASSOCIATION
ADP,AUTOMATIC DATA PROCESSING
AIG,AMERICAN INTERNATIONAL GROUP
AMC,AMERICAN MULTI-CINEMA
AMD,"ADVANCED MICRO DEVICES, INC."
AMF,AMERICAN MACHINE & FOUNDRY
AOL,AMERICA ONLINE
AT&T,AMERICAN TELEPHONE AND TELEGRAPH
B&N,BURGESS & NIPLE
BBC,BRITISH BROADCASTING CORPORATION
BMW,BAYERISCHE MOTOREN WERKE
CBS,COLUMBIA BROADCASTING SYSTEM
CK,CALVIN KLEIN
CNN,CABLE NEWS NETWORK
CVS,CONSUMER VALUE STORES
DEC,DIGITAL EQUIPMENT CORPORATION
DHL,"DALSEY, HILLBLOM AND LYNN"
DK,DORLING KINDERSLEY
DKNY,DONNA KARAN NEW YORK
DSM,DUTCH STATE MINES
DSW,DISCOUNT SHOE WAREHOUSE
EA,ELECTRONIC ARTS
EBX,ELECTRONICS BOUTIQUE X
EMI,ELECTRIC AND MUSICAL INDUSTRIES LTD.
EMS,EASTERN MOUNTAIN SPORTS
ESPN,ENTERTAINMENT AND SPORTS PROGRAMMING NETWORK
ESRI,ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE
FANNIE MAE,FEDERAL NATIONAL MORTGAGE ASSOCIATION
FCUK,FRENCH CONNECTION UNITED KINGDOM
GEICO,GOVERNMENT EMPLOYEES INSURANCE COMPANY
GM,GENERAL MOTORS
GNC,GENERAL NUTRITION CENTERS
H&M,HENNES & MAURITZ
HP,HEWLETT PACKARD
HSBC,HONGKONG AND SHANGHAI BANKING CORPORATION
HTC,HIGH TECH COMPUTER CORPORATION
IBC,INDEPENDENT BREWERIES COMPANY
IBM,INTERNATIONAL BUSINESS MACHINES
ICL,INTERNATIONAL COMPUTERS LIMITED
IGN,IMAGINE GAMES NETWORK
ILM,INDUSTRIAL LIGHT AND MAGIC
IMI,IMPERIAL METAL INDUSTRIES
IREA,INTERMOUNTAIN RURAL ELECTRIC ASSOCIATION
LVMH,LOUIS VUITTON AND MOET HENNESSY
MGM,METRO-GOLDWYN-MAYER
P&G,PROCTOR AND GAMBLE
REI,"RECREATIONAL EQUIPMENT, INC"
TCL,TODAY CHINA LION
TCS,TATA CONSULTANCY SERVICES
TSMC,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY
UBS,UNION BANK OF SWITZERLAND
UMB,UNITED MISSOURI BANK
UPS,UNITED PARCEL SERVICE
USAA,UNITED SERVICES AUTOMOBILE ASSOCIATION
WWE,WORLD WRESTLING ENTERTAINMENT